"ServiceName","Name","Status","DisplayName"
"AJRouter","AJRouter","Stopped","AllJoyn Router Service"
"ALG","ALG","Stopped","Application Layer Gateway Service"
"AppIDSvc","AppIDSvc","Stopped","Application Identity"
"Appinfo","Appinfo","Stopped","Application Information"
"AppMgmt","AppMgmt","Running","Application Management"
"AppReadiness","AppReadiness","Stopped","App Readiness"
"AppVClient","AppVClient","Stopped","Microsoft App-V Client"
"AppXSvc","AppXSvc","Stopped","AppX Deployment Service (AppXSVC)"
"AssignedAccessManagerSvc","AssignedAccessManagerSvc","Stopped","AssignedAccessManager Service"
"AudioEndpointBuilder","AudioEndpointBuilder","Running","Windows Audio Endpoint Builder"
"Audiosrv","Audiosrv","Running","Windows Audio"
"AxInstSV","AxInstSV","Stopped","ActiveX Installer (AxInstSV)"
"BcastDVRUserService_8a2a4","BcastDVRUserService_8a2a4","Stopped","GameDVR and Broadcast User Service_8a2a4"
"BDESVC","BDESVC","Stopped","BitLocker Drive Encryption Service"
"BFE","BFE","Running","Base Filtering Engine"
"BITS","BITS","Stopped","Background Intelligent Transfer Service"
"BluetoothUserService_8a2a4","BluetoothUserService_8a2a4","Stopped","Bluetooth User Support Service_8a2a4"
"BrokerInfrastructure","BrokerInfrastructure","Running","Background Tasks Infrastructure Service"
"BTAGService","BTAGService","Stopped","Bluetooth Audio Gateway Service"
"BthAvctpSvc","BthAvctpSvc","Running","AVCTP service"
"bthserv","bthserv","Stopped","Bluetooth Support Service"
"camsvc","camsvc","Stopped","Capability Access Manager Service"
"CaptureService_8a2a4","CaptureService_8a2a4","Stopped","CaptureService_8a2a4"
"cbdhsvc_8a2a4","cbdhsvc_8a2a4","Running","Clipboard User Service_8a2a4"
"CDPSvc","CDPSvc","Running","Connected Devices Platform Service"
"CDPUserSvc_8a2a4","CDPUserSvc_8a2a4","Running","Connected Devices Platform User Service_8a2a4"
"CertPropSvc","CertPropSvc","Running","Certificate Propagation"
"ClipSVC","ClipSVC","Stopped","Client License Service (ClipSVC)"
"COMSysApp","COMSysApp","Stopped","COM+ System Application"
"ConsentUxUserSvc_8a2a4","ConsentUxUserSvc_8a2a4","Stopped","ConsentUX_8a2a4"
"CoreMessagingRegistrar","CoreMessagingRegistrar","Running","CoreMessaging"
"CryptSvc","CryptSvc","Running","Cryptographic Services"
"CscService","CscService","Stopped","Offline Files"
"DcomLaunch","DcomLaunch","Running","DCOM Server Process Launcher"
"defragsvc","defragsvc","Stopped","Optimize drives"
"DeviceAssociationService","DeviceAssociationService","Running","Device Association Service"
"DeviceInstall","DeviceInstall","Stopped","Device Install Service"
"DevicePickerUserSvc_8a2a4","DevicePickerUserSvc_8a2a4","Stopped","DevicePicker_8a2a4"
"DevicesFlowUserSvc_8a2a4","DevicesFlowUserSvc_8a2a4","Stopped","DevicesFlow_8a2a4"
"DevQueryBroker","DevQueryBroker","Stopped","DevQuery Background Discovery Broker"
"Dhcp","Dhcp","Running","DHCP Client"
"diagnosticshub.standardcollector.service","diagnosticshub.standardcollector.service","Stopped","Microsoft (R) Diagnostics Hub Standard Collector Service"
"diagsvc","diagsvc","Stopped","Diagnostic Execution Service"
"DiagTrack","DiagTrack","Running","Connected User Experiences and Telemetry"
"DisplayEnhancementService","DisplayEnhancementService","Stopped","Display Enhancement Service"
"DmEnrollmentSvc","DmEnrollmentSvc","Stopped","Device Management Enrollment Service"
"dmwappushservice","dmwappushservice","Stopped","Device Management Wireless Application Protocol (WAP) Push message Routing Service"
"Dnscache","Dnscache","Running","DNS Client"
"DoSvc","DoSvc","Running","Delivery Optimization"
"dot3svc","dot3svc","Stopped","Wired AutoConfig"
"DPS","DPS","Running","Diagnostic Policy Service"
"DsmSvc","DsmSvc","Stopped","Device Setup Manager"
"DsSvc","DsSvc","Running","Data Sharing Service"
"DusmSvc","DusmSvc","Running","Data Usage"
"Eaphost","Eaphost","Stopped","Extensible Authentication Protocol"
"EFS","EFS","Stopped","Encrypting File System (EFS)"
"embeddedmode","embeddedmode","Stopped","Embedded Mode"
"EntAppSvc","EntAppSvc","Stopped","Enterprise App Management Service"
"EventLog","EventLog","Running","Windows Event Log"
"EventSystem","EventSystem","Running","COM+ Event System"
"Fax","Fax","Stopped","Fax"
"fdPHost","fdPHost","Running","Function Discovery Provider Host"
"FDResPub","FDResPub","Running","Function Discovery Resource Publication"
"fhsvc","fhsvc","Stopped","File History Service"
"FontCache","FontCache","Running","Windows Font Cache Service"
"FrameServer","FrameServer","Stopped","Windows Camera Frame Server"
"gpsvc","gpsvc","Stopped","Group Policy Client"
"GraphicsPerfSvc","GraphicsPerfSvc","Stopped","GraphicsPerfSvc"
"hidserv","hidserv","Stopped","Human Interface Device Service"
"HvHost","HvHost","Stopped","HV Host Service"
"icssvc","icssvc","Stopped","Windows Mobile Hotspot Service"
"IKEEXT","IKEEXT","Stopped","IKE and AuthIP IPsec Keying Modules"
"InstallService","InstallService","Stopped","Microsoft Store Install Service"
"iphlpsvc","iphlpsvc","Running","IP Helper"
"IpxlatCfgSvc","IpxlatCfgSvc","Stopped","IP Translation Configuration Service"
"irmon","irmon","Stopped","Infrared monitor service"
"KeyIso","KeyIso","Running","CNG Key Isolation"
"KtmRm","KtmRm","Stopped","KtmRm for Distributed Transaction Coordinator"
"LanmanServer","LanmanServer","Running","Server"
"LanmanWorkstation","LanmanWorkstation","Running","Workstation"
"lfsvc","lfsvc","Stopped","Geolocation Service"
"LicenseManager","LicenseManager","Running","Windows License Manager Service"
"lltdsvc","lltdsvc","Stopped","Link-Layer Topology Discovery Mapper"
"lmhosts","lmhosts","Running","TCP/IP NetBIOS Helper"
"LSM","LSM","Running","Local Session Manager"
"LxpSvc","LxpSvc","Stopped","Language Experience Service"
"MapsBroker","MapsBroker","Stopped","Downloaded Maps Manager"
